date,title
2022/11/01,台積電1奈米廠傳落腳桃園 經部：最先進製程會在台灣投資
2022/11/01,聯發科旗艦晶片下週二亮相 傳沿用台積電4奈米
2022/11/01,美新廠移機典禮傳邀拜登出席 台積電：將邀嘉賓一同慶祝
2022/11/01,台積電拚國內廠再生水替代率逾6成 崑鼎可望大啖水處理商機
2022/11/03,SEMI成立半導體氣候聯盟 台積電、日月光等大廠加入
2022/11/03,【盤中熱點】台積電成壓盤重心，中小型股強勢
2022/11/04,超微推全球首款採小晶片技術GPU 台積電先進封裝喊衝
2022/11/06,鴻海等大廠法說、聯發科新品、台積電營收 本周大事預告
2022/11/07,〈美禁高階晶片輸中〉規避美國制裁 台積電中國客戶傳自降晶片處理速度
2022/11/08,台積電Q3維持配息2.75元 明年3/16除息
2022/11/09,傳在美再建一座3奈米廠 台積電：目前尚未確定二期規劃
2022/11/09,台積電傳未來幾個月宣布新廠計畫 將在美再建一座3奈米廠
2022/11/09,一掃近半個月頹靡走勢 台積電跳空收復400元失土
2022/11/09,日本富士通投入2奈米製程晶片設計 將委託台積電代工生產
2022/11/10,台積電傳增加投資美國 經部重申：先進製程仍在台灣投資
2022/11/10,台積電10月營收2102億元 續寫單月次高
2022/11/10,台積電推動氖氣台灣本地生產 盼三到五年內實現目標
2022/11/11,〈台股盤後〉台積電飆漲、電子族群多點開花 帶量站上萬四
2022/11/11,魏哲家：台積電高雄廠7奈米暫時延後 不會改變製程
2022/11/11,台積電跳空飛漲逾8% 單日市值激增8900億元重返11兆元
2022/11/11,AMD發表新一代EPYC處理器「Genoa」 採台積電5奈米製程
2022/11/11,〈MSCI調整〉台股權重兩升一降 台積電遭降最多
2022/11/12,〈熱門股〉台積電絕地反攻單周飆漲15% 市值激增逾1.5兆元
2022/11/13,台灣半導體擁三利基 四檔相關ETF月績效戰勝台積電
2022/11/15,高市府：台積電高雄廠施工進度符預期 2座晶圓廠計畫不變
2022/11/15,台積電廠務學院 已逾1000人完成受訓
2022/11/15,看好台積電前景 魏哲家10月加碼200張股票
2022/11/15,台積電新人訓練中心曝光 已培育逾6300名生力軍
2022/11/15,〈台股盤後〉台積電率眾攻堅 漲374點站上14500大關
2022/11/15,巴菲特買台積電是真利多  關注基本面發展
2022/11/15,〈焦點股〉台積電登高一呼 供應鏈大開資金派對
2022/11/15,〈美股13F報告〉老虎全球Q3新建倉台積電 增持微軟Alphabet 清倉小鵬
2022/11/15,〈美股13F報告〉波克夏Q3新建倉逾41億美元台積電 加碼能源股、重砍2檔金融股
2022/11/16,〈台版晶片法案〉行政院會明討論 台積電：樂觀其成
2022/11/16,外資連四買台積電9.86萬張 大賣元大台灣50反1 9.55萬張
2022/11/16,台積電效應  熱錢卡位低檔股、利基股
2022/11/16,高通曝3奈米以下訂單計畫 台積電將無法獨拿
2022/11/16,〈台股盤中〉漲百點到一度翻黑 台積電、IC設計扮撐盤要角
2022/11/16,彭博：蘋果準備向位於亞利桑那州的工廠採購晶片 可能是台積電
2022/11/17,巴菲特、橋水基金豪買台積電 法人：資金回流台股有望再上攻
2022/11/17,【台股龍捲風】台積電跌，大立光漲！行情跌不下去！一檔接一檔噴出！
2022/11/17,〈台版晶片法案〉台積電、聯電樂觀其成 將持續投資
2022/11/18,【台股龍捲風】台積電開高走低不用怕！因為ADR?3217優群底型確立出現強攻！接下來?
2022/11/19,巴菲特大買台積電、台版晶片法案明年上路 本周大事回顧
2022/11/19,三星聯手美企 拚3奈米良率超車台積電
2022/11/19,權王的逆襲！股神巴菲特都買進台積電，護國神山帶頭衝！專家：看好這些供應鏈受惠股
2022/11/20,跟進巴菲特 買不起台積電還有7檔高「含積量」ETF
2022/11/21,張忠謀證實將在美建3奈米產能 台積電：目前尚無進一步消息
2022/11/21,勤崴國際自駕車獲准 正式於台積電南科廠上路
2022/11/21,台積電：高雄廠正式動工 如期於2024年量產
2022/11/21,彭博：三大因素 巴菲特抄底台積電
2022/11/21,【盤中熱點】指數盤下震盪，防禦族群成焦點，台積電創辦人證實，先進製程不排斥赴美
2022/11/21,張忠謀證實5奈米後 台積電將在美國建3奈米產能
2022/11/22,〈鴻海延攬蔣尚義〉找來前台積電大將 任集團半導體策略長
2022/11/22,〈台股盤前要聞〉台積電3奈米將赴美、外銷訂單連2黑 今日必看財經新聞
2022/11/23,【台股龍捲風】2330台積電、8358金居、3217優群過高，震盪留意3289宜特6213聯茂
2022/11/23,【盤中熱點】美時成交值直逼台積電，隱眼、面板表現強勢，市場戲稱因阿根廷輸給沙烏地阿拉伯
2022/11/24,外資回頭買超台積電 大舉加碼傳產、金融股
2022/11/25,【台股龍捲風】選前內資股獲利回吐！2330台積電、1605華新續漲
2022/11/26,談鴻海半導體布局 郭台銘：與台積電完全錯開
2022/11/26,台積電3奈米將赴美、鴻海延攬蔣尚義、外銷訂單連2黑 本周大事回顧
2022/11/28,【台股龍捲風】台積電adr有大跌嗎?那今天跌真的?跌假的?9合1後，脫口罩啦！別買錯！
2022/11/28, 〈台股盤後〉台積電漲多拉回 大盤下跌221.64點趺破10日線
2022/11/28,台積電赴美投資 施振榮：海外布局有助提升國際競爭力
2022/11/29,綠電買台積電動作頻頻 近期投資近億元
2022/11/29,台積電明年上半年營收難逃衰退 外資估全年下滑4%
2022/11/30,台積電人工智慧冰水系統 目標年省1億度電
2022/11/30,談巴菲特大買台積電 劉德音：獨具慧眼
2022/11/30,龔明鑫證實將參加台積電美國廠典禮 看明年景氣仍有挑戰
